timestamp,active_devices,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,packets_per_window,rolling_loss_mean,rolling_loss_std,rolling_jitter_mean,rolling_delay_mean,rolling_throughput_mean,rolling_throughput_std,loss_delta,jitter_delta,delay_delta,loss_accel,loss_trend_3,throughput_trend_3,delay_trend_3,delay_slope,loss_slope,loss_x_delay,loss_x_jitter,network_condition
2.25,5,17722.51,17656.03,0.003751,1.7666,10.1981,47,0.0035035000000000005,0.0016875753316518939,1.7332699999999999,10.551300000000001,19989.273999999998,1746.6167294846211,0.00184,0.6874,-2.1347000000000005,0.002477,-0.00038783333333333335,412.96583333333183,1.2490458333333319,-0.04148928571428621,-0.0003716428571428572,0.0382530731,0.0066265166,Stable
2.5,9,16741.97,16711.89,0.001797,1.9892,17.5568,27,0.0032839,0.0017582025196205353,1.68037,11.14846,19557.354,1978.95445006925,-0.001954,0.22260000000000013,7.358699999999999,-0.003794,-9.304166666666662e-05,-917.8987500000039,2.626966666666668,0.986578571428571,-0.00015725000000000005,0.0315495696,0.0035745924000000003,Stable
3.0,10,20289.82,20220.48,0.003418,0.9375,6.121,54,0.0024938,0.0011285172966724467,1.53274,10.64734,19747.313000000002,1856.2567329143883,0.002533,-0.0858000000000001,-8.346599999999999,0.003445,-0.0001377916666666667,-645.4058333333305,1.5146958333333327,0.32817738095238097,0.00010586904761904754,0.020921578000000003,0.003204375,Stable
3.5,4,20618.82,20561.73,0.002769,0.8172,11.0967,46,0.0023531999999999997,0.0009796801972525968,1.6034200000000003,11.49156,19628.227,2015.590588774582,-0.0006249999999999997,-1.3199,-3.1187000000000005,-0.0006009999999999995,0.0006345416666666665,-443.46416666666846,-1.796174999999998,-0.1624857142857152,8.3940476190476e-05,0.030726762300000002,0.0022628268,Stable
4.0,10,22842.54,22758.32,0.003687,2.2593,6.7109,50,0.002572,0.0009984270963203398,1.57153,11.552,20051.271,2272.027159728364,0.0021270000000000004,-0.5863999999999998,-3.9072000000000005,0.0033360000000000004,1.4375000000000065e-05,1956.8116666666683,-1.8978416666666647,-0.7276452380952387,4.755952380952382e-05,0.0247430883,0.0083300391,Stable
4.5,8,17301.23,17213.65,0.005062,1.3286,14.7938,35,0.0028553000000000003,0.0012493859869729784,1.7593800000000002,11.574760000000001,19194.748,2181.6045686797697,0.0028319999999999994,-1.1607,4.8245999999999984,0.004288999999999999,0.0007840416666666664,-312.4049999999952,-0.5077874999999992,-0.01747261904761909,0.0002734404761904758,0.07488621559999999,0.0067253732,Stable
5.0,7,20873.05,20830.43,0.002042,1.1149,11.443,30,0.0027429000000000004,0.001196547946757207,1.77333,11.24295,19997.307999999997,2004.0465567102528,-0.00034,-1.6655000000000002,-1.5508000000000006,0.0023399999999999996,0.0002712499999999998,1.4041666666671517,1.596754166666667,0.06981071428571362,-2.7976190476190597e-05,0.023366605999999998,0.0022766258,Stable
5.25,12,17307.22,17296.7,0.000608,3.085,14.4376,36,0.0027152,0.0012465006841376198,1.9795000000000003,11.239949999999999,19645.84,2148.412752899736,-0.001434,1.9701,2.9946,-0.001094,-0.0008651666666666666,-61.25500000000102,1.4502458333333372,0.6093345238095234,-0.00016428571428571433,0.008778060800000001,0.00187568,Stable
5.75,9,17832.38,17801.9,0.00171,3.2304,13.0842,25,0.0024906,0.0012272362083605214,2.22401,12.015789999999999,19517.207,2075.5522189156204,-0.001146,0.9411,-1.926400000000001,-0.0033940000000000003,-0.0008474583333333331,-1567.5779166666653,1.8720791666666674,0.8000083333333328,-0.0002906071428571428,0.022373981999999997,0.005523984,Stable
6.25,11,17701.01,17618.81,0.004644,1.7608,12.2611,39,0.0028148999999999995,0.001349411431369658,2.0338000000000003,12.73981,19012.533,1995.6418166876115,0.0017159999999999996,1.7608,-4.4327999999999985,0.0004979999999999995,0.00031499999999999974,-456.7225000000035,0.17331666666666834,0.07462142857142863,1.2571428571428594e-05,0.0569405484,0.0081771552,Stable
