timestamp,active_devices,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,queue_length,packets_per_window,network_condition
1773165625.447,8,312832.0,311040.0,0.005728,0.012593,0.023577,7,1222,Stable
1773165625.448,1,256.0,256.0,0.0,7.449962,7.463072,0,1,Stable
1773165625.453,1,256.0,256.0,0.0,7.450356,7.463552,0,1,Stable
1773165625.456,1,256.0,256.0,0.0,7.450172,7.463377,0,1,Stable
1773165625.457,2,512.0,512.0,0.0,0.000117,7.463048,0,2,Stable
1773165625.463,2,512.0,512.0,0.0,0.000136,0.013413,0,2,Stable
1773165625.468,2,512.0,512.0,0.0,7.449789,0.013259,0,2,Stable
1773165625.477,1,256.0,256.0,0.0,7.449206,0.01417,0,1,Stable
1773165625.478,2,512.0,512.0,0.0,0.000104,0.013309,0,2,Stable
1773165625.484,2,512.0,512.0,0.0,0.000436,0.01385,0,2,Stable
1773165625.489,2,512.0,512.0,0.0,0.000466,0.013775,0,2,Stable
1773165625.497,2,512.0,512.0,0.0,0.000438,0.013495,0,2,Stable
1773165625.499,1,256.0,256.0,0.0,7.449468,0.013604,0,1,Stable
1773165625.499,2,512.0,512.0,0.0,0.000502,0.013273,0,2,Stable
1773165625.503,2,512.0,512.0,0.0,0.000653,0.013197,0,2,Stable
1773165625.503,1,256.0,256.0,0.0,7.450059,0.013494,0,1,Stable
1773165625.51,2,512.0,512.0,0.0,8.3e-05,0.013356,0,2,Stable
1773165625.518,1,256.0,256.0,0.0,0.000124,0.013387,0,1,Stable
1773165625.521,2,512.0,512.0,0.0,0.000304,0.01366,0,2,Stable
1773165625.525,2,512.0,512.0,0.0,0.000391,0.013588,0,2,Stable
1773165630.449,8,532992.0,529408.0,0.006724,0.057527,-0.009899,14,2082,Stable
1773165630.452,2,512.0,512.0,0.0,7.440773,7.454415,0,2,Stable
1773165630.453,1,256.0,256.0,0.0,7.44067,7.454072,0,1,Stable
1773165630.456,1,256.0,256.0,0.0,7.440653,7.453963,0,1,Stable
1773165630.462,2,512.0,512.0,0.0,0.000217,0.013407,0,2,Stable
1773165630.463,2,512.0,512.0,0.0,7.441118,0.013297,0,2,Stable
1773165630.474,3,768.0,768.0,0.0,2.480433,0.01358,0,3,Stable
